unidade,categoria,ano_mes,faturamento_categoria,percentual_perda,valor_perda,meta_percentual
U001,Hortifruti,2023-06,335093.4,7.89,26438.87,2.0
U001,Hortifruti,2023-07,304162.49,9.61,29230.02,2.0
U001,Hortifruti,2023-08,355964.56,7.81,27800.83,2.0
U001,Hortifruti,2023-09,350787.73,9.38,32903.89,2.0
U001,Hortifruti,2023-10,391843.38,7.78,30485.41,2.0
U001,Hortifruti,2023-11,379728.18,6.72,25517.73,2.0
U001,Hortifruti,2023-12,306266.24,7.06,21622.4,2.0
U001,Hortifruti,2024-01,323158.13,6.46,20876.02,2.0
U001,Hortifruti,2024-02,310017.57,7.72,23933.36,2.0
U001,Hortifruti,2024-03,357145.39,6.97,24893.03,2.0
U001,Hortifruti,2024-04,347768.0,6.31,21944.16,2.0
U001,Hortifruti,2024-05,297558.98,5.49,16335.99,2.0
U001,Hortifruti,2024-06,361412.57,5.54,20022.26,2.0
U001,Hortifruti,2024-07,323740.85,5.7,18453.23,2.0
U001,Hortifruti,2024-08,338041.82,5.73,19369.8,2.0
U001,Hortifruti,2024-09,373136.18,5.02,18731.44,2.0
U001,Hortifruti,2024-10,316535.64,5.4,17092.92,2.0
U001,Hortifruti,2024-11,345448.78,4.96,17134.26,2.0
U001,Hortifruti,2024-12,366457.23,5.13,18799.26,2.0
U001,Hortifruti,2025-01,392246.56,4.09,16042.88,2.0
U001,Hortifruti,2025-02,334435.49,3.65,12206.9,2.0
U001,Hortifruti,2025-03,307061.27,4.18,12835.16,2.0
U001,Hortifruti,2025-04,295461.32,3.63,10725.25,2.0
U001,Hortifruti,2025-05,370070.15,3.57,13211.5,2.0
U001,Hortifruti,2025-06,381477.72,3.22,12283.58,2.0
U001,Açougue,2023-06,362944.67,6.14,22284.8,2.0
U001,Açougue,2023-07,351074.94,6.5,22819.87,2.0
U001,Açougue,2023-08,377825.26,6.07,22933.99,2.0
U001,Açougue,2023-09,340192.97,6.77,23031.06,2.0
U001,Açougue,2023-10,297668.86,6.08,18098.27,2.0
U001,Açougue,2023-11,357990.4,5.96,21336.23,2.0
U001,Açougue,2023-12,375969.41,6.25,23498.09,2.0
U001,Açougue,2024-01,331109.98,4.93,16323.72,2.0
U001,Açougue,2024-02,293749.33,5.35,15715.59,2.0
U001,Açougue,2024-03,308713.55,4.86,15003.48,2.0
U001,Açougue,2024-04,297492.45,4.2,12494.68,2.0
U001,Açougue,2024-05,304732.14,4.93,15023.29,2.0
U001,Açougue,2024-06,331640.54,4.06,13464.61,2.0
U001,Açougue,2024-07,299716.93,4.68,14026.75,2.0
U001,Açougue,2024-08,347942.39,3.97,13813.31,2.0
U001,Açougue,2024-09,375697.35,4.3,16154.99,2.0
U001,Açougue,2024-10,320066.17,4.09,13090.71,2.0
U001,Açougue,2024-11,328330.75,3.42,11228.91,2.0
U001,Açougue,2024-12,389938.07,3.72,14505.7,2.0
U001,Açougue,2025-01,309553.82,2.82,8729.42,2.0
U001,Açougue,2025-02,315428.85,2.74,8642.75,2.0
U001,Açougue,2025-03,352024.13,2.79,9821.47,2.0
U001,Açougue,2025-04,291849.63,2.44,7121.13,2.0
U001,Açougue,2025-05,329408.94,2.39,7872.87,2.0
U001,Açougue,2025-06,389461.5,2.32,9035.51,2.0
U001,Padaria,2023-06,344450.55,7.93,27314.93,2.0
U001,Padaria,2023-07,360980.58,7.55,27254.03,2.0
U001,Padaria,2023-08,383951.97,6.14,23574.65,2.0
U001,Padaria,2023-09,381378.5,7.47,28488.97,2.0
U001,Padaria,2023-10,331787.54,7.29,24187.31,2.0
U001,Padaria,2023-11,302078.1,6.29,19000.71,2.0
U001,Padaria,2023-12,297831.2,6.53,19448.38,2.0
U001,Padaria,2024-01,312901.36,5.29,16552.48,2.0
U001,Padaria,2024-02,326405.52,5.28,17234.21,2.0
U001,Padaria,2024-03,291452.57,4.91,14310.32,2.0
U001,Padaria,2024-04,301864.91,4.9,14791.38,2.0
U001,Padaria,2024-05,294051.52,5.05,14849.6,2.0
U001,Padaria,2024-06,354589.95,5.63,19963.41,2.0
U001,Padaria,2024-07,317375.08,4.35,13805.82,2.0
U001,Padaria,2024-08,328885.38,4.44,14602.51,2.0
U001,Padaria,2024-09,378747.8,3.95,14960.54,2.0
U001,Padaria,2024-10,339358.92,4.88,16560.72,2.0
U001,Padaria,2024-11,300262.42,4.03,12100.58,2.0
U001,Padaria,2024-12,326671.11,3.39,11074.15,2.0
U001,Padaria,2025-01,376682.27,3.38,12731.86,2.0
U001,Padaria,2025-02,293804.13,3.09,9078.55,2.0
U001,Padaria,2025-03,345763.62,3.67,12689.52,2.0
U001,Padaria,2025-04,347297.74,2.71,9411.77,2.0
U001,Padaria,2025-05,345748.4,2.43,8401.69,2.0
U001,Padaria,2025-06,380227.72,3.0,11406.83,2.0
U001,Frios e Laticínios,2023-06,318286.13,6.35,20211.17,2.0
U001,Frios e Laticínios,2023-07,308610.04,5.6,17282.16,2.0
U001,Frios e Laticínios,2023-08,346209.5,6.14,21257.26,2.0
U001,Frios e Laticínios,2023-09,325336.97,5.97,19422.62,2.0
